tweeted_at,username,tweet,clean_tweet,sentiment
2020-04-11 15:40:45,eduardorenardi,"RT @jihansyakillaa: @collegemenfess binus alsut, accounting. tagged @eduardorenardi",rt binus alsut accounting tagged,neutral
2020-04-11 15:19:47,insecvrgall,"@moeshi_moeshi @collegemenfess Mending binus , unsada fasilitas kurang bgtbgt",mending binus unsada fasilitas kurang bgtbgt,negative
2020-04-11 15:17:25,defjaybes,"@newlyparadise KLO PAPER GINI LEBIH NGERI KETAUAN PLAGIATNYA ASLI NUK, udh tau binus kampus IT gini😫",klo paper gini lebih ngeri ketauan plagiatnya asli nuk udh tau binus kampus it gini,positive
2020-04-11 15:15:33,VionAlonso,@cl_ckmecl_ckme @edcmenfess Binus bknya lbih bgus bisnis nya? Kan terakreditasi aacsb. Prtama swasta di indo. Dan d… https://t.co/qgqFLwLm9E,binus bknya lbih bgus bisnis nya kan terakreditasi aacsb prtama swasta indo,positive
2020-04-11 15:08:11,Yuhai__,@caratstalk Isi kalo ga binus,isi kalo ga binus,neutral
2020-04-11 15:06:00,parahanaaa,@caratstalk Binus ehe,binus ehe,neutral
2020-04-11 15:05:28,trashbacg,@caratstalk binus jadi anak DI kalo ga ya anak fsrd,binus jadi anak kalo ga anak fsrd,neutral
2020-04-11 15:04:08,jeonghanadm2,@caratstalk Yang terlintas di pikiran sih binus,terlintas pikiran sih binus,neutral
2020-04-11 15:03:24,rrainstar,"@caratstalk Isi, ikj. sama kepikiran binus anjir",isi ikj sama kepikiran binus anjir,neutral
2020-04-11 14:59:56,aaaaaaaaayyyyy,@collegemenfess Binus arsitekturr,binus arsitekturr,neutral
2020-04-11 14:59:55,VionAlonso,@collegemenfess Binus lah,binus lah,neutral
2020-04-11 14:47:49,panasabila,"@firdausmuhtadin promosiin binus sambil di tag trisaktinya wkwkwkwkwkwk, iya siah usss :(, joll sampe lulus online learning wkwk",promosiin binus tag trisaktinya wkwkwkwkwkwk iya siah usss joll sampe lulus online learning wkwk,neutral
2020-04-11 14:46:17,firdausmuhtadin,@panasabila @trisakti_ Ceuk aing ge binus kan tetep aja onle n maneh wkwkw,ceuk aing ge binus kan tetep aja onle maneh wkwkw,positive
2020-04-11 14:39:46,eendahm,@collegemenfess UMY Binus umm umn bagus,umy binus umm umn bagus,positive
2020-04-11 14:37:54,afrizalyoy,"@collegemenfess Binus, teknik sipil",binus teknik sipil,neutral
2020-04-11 14:15:36,VionAlonso,@collegemenfess Binus lah woyyy 👍🤣,binus lah woyyy,neutral
2020-04-11 14:06:31,mikee_wazowsky,@collegemenfess Binus IT,binus it,neutral
2020-04-11 14:05:44,hyucksunshines,@collegemenfess Unpar binus,unpar binus,neutral
2020-04-11 14:04:19,BINUS_Simprug,"RT @rldursin: Challenges of home learning during a pandemic through the eyes of a student @BINUS_Simprug #BINUSLeads
https://t.co/nwknoZszCD",rt challenges of home learning during pandemic through the eyes of student binusleads,neutral
